,avg_within_event_corr,avg_between_event_corr,avg_difference,M,test_subject,dataset,K,embed_method,ROI,boundary_TRs,model_LogLikelihood
113,0.2345110770216754,-0.008302219394258086,0.2428132964159335,7,13,sherlock,51,TPHATE,early_visual,"[0, 19, 55, 74, 139, 180, 228, 262, 287, 309, 346, 436, 496, 533, 544, 598, 641, 664, 709, 749, 787, 813, 868, 887, 907, 963, 982, 1013, 1075, 1099, 1140, 1165, 1197, 1249, 1284, 1329, 1404, 1446, 1469, 1495, 1538, 1607, 1632, 1656, 1702, 1728, 1762, 1820, 1880, 1902, 1937, 1976]",-2556.793212453114
114,0.23893972533152397,-0.008092604108708839,0.24703232944023282,8,13,sherlock,51,TPHATE,early_visual,"[0, 21, 55, 74, 140, 180, 228, 263, 305, 346, 392, 439, 493, 542, 574, 599, 642, 663, 706, 748, 784, 814, 867, 887, 907, 965, 982, 1014, 1073, 1099, 1140, 1209, 1249, 1286, 1327, 1385, 1404, 1445, 1469, 1493, 1536, 1556, 1593, 1654, 1702, 1728, 1762, 1820, 1880, 1899, 1938, 1976]",-2581.447792600516
115,0.22031224543195196,-0.007846551184452231,0.2281587966164042,9,13,sherlock,51,TPHATE,early_visual,"[0, 20, 56, 74, 139, 181, 229, 263, 305, 346, 392, 439, 493, 534, 546, 577, 599, 665, 705, 748, 783, 813, 852, 888, 908, 964, 981, 1074, 1099, 1140, 1173, 1202, 1247, 1286, 1327, 1393, 1424, 1446, 1469, 1493, 1538, 1595, 1633, 1655, 1719, 1779, 1804, 1821, 1880, 1898, 1938, 1976]",-2617.6377305071937
116,0.22962119457616514,-0.007999712081802019,0.23762090665796717,10,13,sherlock,51,TPHATE,early_visual,"[0, 27, 56, 73, 152, 181, 229, 263, 308, 346, 395, 438, 452, 488, 545, 577, 599, 665, 705, 747, 783, 813, 852, 888, 908, 963, 981, 1058, 1075, 1100, 1142, 1208, 1247, 1286, 1326, 1393, 1424, 1446, 1469, 1495, 1538, 1604, 1633, 1656, 1702, 1728, 1778, 1818, 1880, 1898, 1939, 1976]",-2612.352715165629
117,0.26043498777401225,-0.013426934895779122,0.27386192266979137,2,14,sherlock,54,TPHATE,early_visual,"[0, 31, 61, 80, 100, 118, 138, 169, 202, 236, 271, 305, 345, 385, 425, 465, 505, 545, 585, 670, 755, 840, 925, 1010, 1300, 1320, 1341, 1361, 1381, 1402, 1422, 1442, 1457, 1473, 1488, 1504, 1519, 1535, 1550, 1565, 1581, 1596, 1612, 1627, 1643, 1658, 1674, 1689, 1704, 1738, 1772, 1806, 1840, 1874, 1908, 1942, 1976]",-2196.4977406564203
118,0.49765410524486414,-0.015836037013043737,0.5134901422579079,3,14,sherlock,54,TPHATE,early_visual,"[0, 34, 56, 83, 122, 231, 240, 267, 289, 305, 402, 466, 486, 505, 539, 585, 662, 673, 701, 784, 830, 851, 865, 882, 891, 906, 935, 957, 979, 1012, 1046, 1078, 1101, 1124, 1172, 1184, 1236, 1308, 1437, 1461, 1517, 1550, 1571, 1599, 1610, 1636, 1660, 1703, 1725, 1745, 1783, 1837, 1875, 1947, 1976]",-1634.255427553249
119,0.5063473079221247,-0.014061770160069693,0.5204090780821944,4,14,sherlock,54,TPHATE,early_visual,"[0, 25, 82, 121, 143, 169, 190, 236, 270, 305, 402, 470, 486, 503, 535, 546, 587, 667, 699, 784, 804, 830, 852, 864, 885, 907, 921, 966, 980, 1043, 1080, 1100, 1123, 1173, 1183, 1237, 1287, 1372, 1424, 1444, 1463, 1500, 1552, 1601, 1611, 1636, 1694, 1723, 1733, 1781, 1840, 1874, 1902, 1947, 1976]",-1820.2528395545066
120,0.4867538449349315,-0.01282035230411123,0.4995741972390427,5,14,sherlock,54,TPHATE,early_visual,"[0, 28, 66, 102, 122, 167, 238, 282, 306, 343, 400, 463, 484, 505, 531, 546, 587, 667, 731, 782, 832, 860, 885, 906, 925, 941, 967, 980, 1010, 1041, 1061, 1082, 1125, 1147, 1178, 1235, 1283, 1322, 1348, 1445, 1461, 1500, 1553, 1602, 1611, 1659, 1707, 1726, 1752, 1780, 1839, 1874, 1898, 1946, 1976]",-1939.7644918111166
121,0.5126253036109317,-0.01286272906172057,0.5254880326726523,6,14,sherlock,54,TPHATE,early_visual,"[0, 27, 68, 101, 122, 166, 190, 236, 284, 307, 344, 398, 475, 502, 532, 560, 587, 639, 667, 697, 733, 786, 832, 901, 926, 941, 967, 980, 999, 1042, 1082, 1125, 1145, 1177, 1236, 1249, 1284, 1347, 1376, 1444, 1463, 1499, 1556, 1601, 1610, 1657, 1708, 1726, 1780, 1799, 1840, 1870, 1890, 1946, 1976]",-1971.5987616713194
122,0.4880489580644817,-0.012141109149443299,0.500190067213925,7,14,sherlock,54,TPHATE,early_visual,"[0, 27, 63, 78, 119, 166, 191, 243, 305, 337, 360, 403, 469, 486, 506, 532, 587, 639, 668, 698, 733, 786, 831, 859, 899, 939, 966, 981, 1010, 1041, 1062, 1083, 1153, 1178, 1236, 1248, 1283, 1315, 1386, 1442, 1466, 1499, 1555, 1600, 1611, 1657, 1708, 1732, 1780, 1799, 1840, 1864, 1892, 1947, 1976]",-2060.732961428455
