,subject,embedding_dimensions,embed_method,clf_accuracy,clf_sd,ROI
3,4,20,UMAP,0.3814102564102564,0.003205128205128221,early_visual
4,6,20,UMAP,0.3974358974358974,0.015701857325533183,early_visual
5,9,20,UMAP,0.4519230769230769,0.014687742612037941,early_visual
6,10,20,UMAP,0.3685897435897436,0.02775722448027047,early_visual
7,14,20,UMAP,0.38461538461538464,0.0,early_visual
8,15,20,UMAP,0.3862179487179487,0.01594531149209327,early_visual
9,16,20,UMAP,0.41025641025641024,0.021260415322791014,early_visual
10,17,20,UMAP,0.3766025641025641,0.013878612240135237,early_visual
11,18,20,UMAP,0.405448717948718,0.009480897088300673,early_visual
12,19,20,UMAP,0.41025641025641024,0.013598207330510531,early_visual
13,20,20,UMAP,0.38461538461538464,0.0,early_visual
0,1,20,PHATE,0.4439102564102564,0.022833023796113804,high_Visual
1,2,20,PHATE,0.4262820512820513,0.026623794432429716,high_Visual
2,3,20,PHATE,0.4246794871794872,0.011444596840613544,high_Visual
3,4,20,PHATE,0.4022435897435897,0.00832716734408116,high_Visual
4,6,20,PHATE,0.39102564102564097,0.007850928662766592,high_Visual
5,9,20,PHATE,0.5176282051282051,0.02538939025281229,high_Visual
6,10,20,PHATE,0.4519230769230769,0.02738462738883824,high_Visual
7,14,20,PHATE,0.40384615384615385,0.02398498324855091,high_Visual
8,15,20,PHATE,0.4006410256410257,0.013215082133389934,high_Visual
9,16,20,PHATE,0.4567307692307692,0.02579082842857544,high_Visual
10,17,20,PHATE,0.4310897435897436,0.03909074012067459,high_Visual
11,18,20,PHATE,0.4246794871794872,0.03280366905522231,high_Visual
12,19,20,PHATE,0.4583333333333334,0.02812488585702604,high_Visual
13,20,20,PHATE,0.4439102564102565,0.037480819113866984,high_Visual
0,1,20,LLE,0.39102564102564097,0.02757155534308533,early_visual
1,2,20,LLE,0.4695512820512821,0.02950633435820828,early_visual
2,3,20,LLE,0.3012820512820513,0.03710204135509688,early_visual
3,4,20,LLE,0.3173076923076923,0.04312058989446703,early_visual
4,6,20,LLE,0.34935897435897434,0.01602564102564103,early_visual
5,9,20,LLE,0.4262820512820513,0.05634101227963765,early_visual
6,10,20,LLE,0.2644230769230769,0.022833023796113783,early_visual
7,14,20,LLE,0.3092948717948718,0.024145062777755383,early_visual
8,15,20,LLE,0.3012820512820513,0.03268602252303067,early_visual
9,16,20,LLE,0.3878205128205128,0.034070980169021305,early_visual
10,17,20,LLE,0.3028846153846154,0.019951762176263998,early_visual
11,18,20,LLE,0.6810897435897436,0.04088894494286241,early_visual
12,19,20,LLE,0.3685897435897436,0.030237119013001943,early_visual
13,20,20,LLE,0.32371794871794873,0.04934232153314312,early_visual
0,1,3,TSNE,0.3926282051282051,0.02498150203224341,early_visual
1,2,3,TSNE,0.4326923076923077,0.026623794432429737,early_visual
2,3,3,TSNE,0.3653846153846154,0.013598207330510526,early_visual
3,4,3,TSNE,0.3637820512820513,0.009480897088300655,early_visual
4,6,3,TSNE,0.42788461538461536,0.035510448407308236,early_visual
5,9,3,TSNE,0.4230769230769231,0.0207716048025893,early_visual
6,10,3,TSNE,0.3621794871794872,0.014687742612037957,early_visual
7,14,3,TSNE,0.3637820512820513,0.009480897088300655,early_visual
8,15,3,TSNE,0.3669871794871795,0.009480897088300657,early_visual
9,16,3,TSNE,0.4230769230769231,0.019230769230769218,early_visual
10,17,3,TSNE,0.3541666666666667,0.02733769568787175,early_visual
11,18,3,TSNE,0.4423076923076923,0.007850928662766592,early_visual
12,19,3,TSNE,0.41025641025641024,0.015033383845587918,early_visual
13,20,3,TSNE,0.3573717948717949,0.01995176217626399,early_visual
0,1,20,TPHATE,0.6201923076923077,0.03152614675145195,high_Visual
1,2,20,TPHATE,0.655448717948718,0.03403327016281299,high_Visual
2,3,20,TPHATE,0.4407051282051282,0.04236956431539195,high_Visual
3,4,20,TPHATE,0.4855769230769231,0.06351897814937953,high_Visual
4,6,20,TPHATE,0.45192307692307704,0.02623510503805272,high_Visual
5,9,20,TPHATE,0.6762820512820513,0.057065685303733515,high_Visual
6,10,20,TPHATE,0.4391025641025641,0.056158382910048786,high_Visual
7,14,20,TPHATE,0.4615384615384616,0.02266367888418422,high_Visual
8,15,20,TPHATE,0.5977564102564102,0.013878612240135264,high_Visual
9,16,20,TPHATE,0.530448717948718,0.043564991086757016,high_Visual
10,17,20,TPHATE,0.4967948717948718,0.07315841160585465,high_Visual
11,18,20,TPHATE,0.983974358974359,0.007166884543268581,high_Visual
12,19,20,TPHATE,0.5817307692307692,0.03551044840730823,high_Visual
13,20,20,TPHATE,0.3173076923076923,0.09093757025071222,high_Visual
0,1,20,UMAP,0.4407051282051282,0.0219147345050919,high_Visual
1,2,20,UMAP,0.4439102564102564,0.01834218452285192,high_Visual
2,3,20,UMAP,0.4118589743589744,0.010508715583817295,high_Visual
3,4,20,UMAP,0.3974358974358975,0.013598207330510526,high_Visual
4,6,20,UMAP,0.39102564102564097,0.007850928662766592,high_Visual
5,9,20,UMAP,0.45352564102564097,0.009480897088300673,high_Visual
6,10,20,UMAP,0.4423076923076924,0.016343011261515338,high_Visual
7,14,20,UMAP,0.3974358974358974,0.009065471553673671,high_Visual
8,15,20,UMAP,0.3798076923076923,0.025389390252812283,high_Visual
9,16,20,UMAP,0.4487179487179487,0.04079462199153159,high_Visual
10,17,20,UMAP,0.4166666666666667,0.0235527859882998,high_Visual
11,18,20,UMAP,0.41025641025641024,0.016343011261515317,high_Visual
12,19,20,UMAP,0.4166666666666667,0.023984983248550903,high_Visual
13,20,20,UMAP,0.4567307692307693,0.03802503371059189,high_Visual
0,1,20,PCA,0.4951923076923077,0.009480897088300655,high_Visual
1,2,20,PCA,0.5192307692307692,0.011992491624275457,high_Visual
2,3,20,PCA,0.42147435897435903,0.02985246155480313,high_Visual
3,4,20,PCA,0.4342948717948718,0.02579082842857544,high_Visual
4,6,20,PCA,0.4166666666666666,0.04818364223837472,high_Visual
5,9,20,PCA,0.5496794871794871,0.032488998289604644,high_Visual
6,10,20,PCA,0.5336538461538461,0.027337695687871783,high_Visual
7,14,20,PCA,0.4759615384615384,0.005315103830697761,high_Visual
8,15,20,PCA,0.4919871794871795,0.02095624492086864,high_Visual
9,16,20,PCA,0.4727564102564102,0.02695930102766141,high_Visual
10,17,20,PCA,0.48557692307692296,0.03492707486811436,high_Visual
11,18,20,PCA,0.4455128205128205,0.005551444896054097,high_Visual
12,19,20,PCA,0.5384615384615384,0.045100151536763736,high_Visual
13,20,20,PCA,0.4791666666666667,0.0295063343582083,high_Visual
0,1,20,PHATE_TIME,0.3798076923076923,0.00832716734408116,high_Visual
1,2,20,PHATE_TIME,0.3621794871794872,0.016654334688162294,high_Visual
2,3,20,PHATE_TIME,0.3766025641025641,0.013878612240135237,high_Visual
3,4,20,PHATE_TIME,0.3814102564102564,0.003205128205128221,high_Visual
4,6,20,PHATE_TIME,0.3830128205128205,0.0027757224480270608,high_Visual
5,9,20,PHATE_TIME,0.38461538461538464,0.0,high_Visual
6,10,20,PHATE_TIME,0.38461538461538464,0.0,high_Visual
7,14,20,PHATE_TIME,0.38461538461538464,0.0,high_Visual
8,15,20,PHATE_TIME,0.38461538461538464,0.0,high_Visual
9,16,20,PHATE_TIME,0.38461538461538464,0.0,high_Visual
10,17,20,PHATE_TIME,0.3685897435897436,0.027757224480270463,high_Visual
11,18,20,PHATE_TIME,0.38461538461538464,0.0,high_Visual
12,19,20,PHATE_TIME,0.3701923076923077,0.010508715583817295,high_Visual
13,20,20,PHATE_TIME,0.3766025641025641,0.013878612240135237,high_Visual
0,1,20,TPHATE,0.592948717948718,0.04764765624140548,early_visual
1,2,20,TPHATE,0.6618589743589743,0.0647998930101145,early_visual
2,3,20,TPHATE,0.3509615384615385,0.13464399879035235,early_visual
3,4,20,TPHATE,0.3974358974358975,0.07364823905817985,early_visual
4,6,20,TPHATE,0.4903846153846154,0.04807692307692308,early_visual
5,9,20,TPHATE,0.6266025641025641,0.031850331593512506,early_visual
6,10,20,TPHATE,0.3461538461538461,0.027196414661021056,early_visual
7,14,20,TPHATE,0.40224358974358976,0.0269593010276614,early_visual
8,15,20,TPHATE,0.35897435897435903,0.034221404653946505,early_visual
9,16,20,TPHATE,0.5416666666666667,0.050778780505624566,early_visual
10,17,20,TPHATE,0.4391025641025641,0.04544053486781354,early_visual
11,18,20,TPHATE,0.9775641025641026,0.01397082994724573,early_visual
12,19,20,TPHATE,0.5801282051282051,0.04312058989446703,early_visual
13,20,20,TPHATE,0.34455128205128205,0.036649348160350224,early_visual
0,1,20,PCA,0.4455128205128205,0.013215082133389938,early_visual
1,2,20,PCA,0.4983974358974359,0.018893952119473718,early_visual
2,3,20,PCA,0.3125,0.01943005713618935,early_visual
3,4,20,PCA,0.3349358974358974,0.037205726814884287,early_visual
4,6,20,PCA,0.405448717948718,0.022378589813732287,early_visual
5,9,20,PCA,0.4855769230769231,0.034033270162812976,early_visual
6,10,20,PCA,0.3557692307692307,0.020522834094336053,early_visual
7,14,20,PCA,0.35416666666666663,0.018893952119473725,early_visual
8,15,20,PCA,0.3669871794871795,0.03280366905522231,early_visual
9,16,20,PCA,0.4487179487179487,0.061984229505813185,early_visual
10,17,20,PCA,0.3060897435897436,0.0241450627777554,early_visual
11,18,20,PCA,0.9951923076923076,0.002775722448027037,early_visual
12,19,20,PCA,0.4182692307692307,0.029852461554803138,early_visual
13,20,20,PCA,0.3381410256410257,0.01311755251902636,early_visual
0,1,20,LLE,0.4342948717948718,0.022833023796113797,high_Visual
1,2,20,LLE,0.4551282051282051,0.032370208135775874,high_Visual
2,3,20,LLE,0.3044871794871795,0.03525641025641027,high_Visual
3,4,20,LLE,0.3269230769230769,0.020771604802589296,high_Visual
4,6,20,LLE,0.3733974358974359,0.008327167344081156,high_Visual
5,9,20,LLE,0.4951923076923077,0.014600053812731262,high_Visual
