,method,sigma,alpha,demap,features
116,PHATE,20.0,4,0.970010067939498,20
117,PCA,20.0,4,0.9804503295235714,20
118,UMAP,20.0,4,0.9436484045930966,20
119,TPHATE,50.0,4,0.9813008224820119,20
120,LLE,50.0,4,0.7653286719607936,20
121,ISOMAP,50.0,4,0.857705929201848,20
122,TSNE,50.0,4,0.7868334390457322,20
123,PHATE,50.0,4,0.8962885326462708,20
124,PCA,50.0,4,0.895362851069896,20
125,UMAP,50.0,4,0.8801059886556439,20
126,TPHATE,80.0,4,0.8972376576870632,20
127,LLE,80.0,4,0.5511544441208199,20
128,ISOMAP,80.0,4,0.6550034500770568,20
129,TSNE,80.0,4,0.545513615109389,20
130,PHATE,80.0,4,0.7484880536033737,20
131,PCA,80.0,4,0.7297882660394827,20
132,UMAP,80.0,4,0.7504519023697955,20
133,TPHATE,100.0,4,0.8013642245992664,20
134,LLE,100.0,4,0.334827554636408,20
135,ISOMAP,100.0,4,0.6087808834677008,20
136,TSNE,100.0,4,0.49172061867586514,20
137,PHATE,100.0,4,0.7264117492787948,20
138,PCA,100.0,4,0.5910879376659577,20
139,UMAP,100.0,4,0.5623448080048604,20
140,TPHATE,0.5,5,0.9882452371616394,20
141,LLE,0.5,5,0.8850759398539837,20
142,ISOMAP,0.5,5,0.999359590072005,20
143,TSNE,0.5,5,0.916668747233531,20
144,PHATE,0.5,5,0.9907974877861946,20
145,PCA,0.5,5,0.999359590072005,20
146,UMAP,0.5,5,0.9856630907430105,20
147,TPHATE,1.0,5,0.9881374832563817,20
148,LLE,1.0,5,0.8849548005275961,20
149,ISOMAP,1.0,5,0.999359590072005,20
150,TSNE,1.0,5,0.5415542885096033,20
151,PHATE,1.0,5,0.989909710483643,20
152,PCA,1.0,5,0.999359590072005,20
153,UMAP,1.0,5,0.9902432579719853,20
154,TPHATE,2.0,5,0.9881581433629081,20
155,LLE,2.0,5,0.8803633227442832,20
156,ISOMAP,2.0,5,0.999359590072005,20
157,TSNE,2.0,5,0.9240786279139019,20
158,PHATE,2.0,5,0.9900119735828795,20
159,PCA,2.0,5,0.999359590072005,20
160,UMAP,2.0,5,0.9800165811511571,20
161,TPHATE,3.0,5,0.9882209839931083,20
162,LLE,3.0,5,0.8889124191577672,20
163,ISOMAP,3.0,5,0.9993358176652916,20
164,TSNE,3.0,5,0.901946454005477,20
165,PHATE,3.0,5,0.9894743553546279,20
166,PCA,3.0,5,0.999359590072005,20
167,UMAP,3.0,5,0.9930357882922848,20
168,TPHATE,5.0,5,0.9881217446326714,20
169,LLE,5.0,5,0.8837136885924233,20
170,ISOMAP,5.0,5,0.9983475737945057,20
171,TSNE,5.0,5,0.9142292732100636,20
172,PHATE,5.0,5,0.988648027003331,20
173,PCA,5.0,5,0.9991342392958575,20
174,UMAP,5.0,5,0.9868934234921697,20
175,TPHATE,10.0,5,0.9898679095087725,20
176,LLE,10.0,5,0.9002845869185895,20
177,ISOMAP,10.0,5,0.9945024281263801,20
