,subject,ROI,dataset,avg_difference,embed_method,model_LogLikelihood,AIC
0,20,early_visual,forrest,0.039690623226899785,LLE,-5336.984505889452,31887.9690117789
1,20,early_visual,forrest,0.045747755866040886,LLE,-5069.503750138155,30537.007500276315
2,20,early_visual,forrest,0.029989303665546037,LLE,-5326.16632737908,29856.332654758164
3,20,early_visual,forrest,0.0041809715365099176,LLE,-4041.129693160468,32278.259386320937
4,20,early_visual,forrest,0.054298141804171585,LLE,-5220.148833373186,32908.297666746366
5,20,early_visual,forrest,0.047073495288868936,LLE,-5378.652368684257,29185.304737368522
6,20,early_visual,forrest,0.02947066026796953,LLE,-5161.7534710684695,33217.50694213694
7,20,early_visual,forrest,0.02780459965468269,LLE,-5418.861311413426,31235.722622826845
8,20,early_visual,forrest,0.02644088633135589,LLE,-5412.753474227004,31223.506948454007
9,20,early_visual,forrest,0.05935271285475185,LLE,-5309.580206101883,31423.160412203768
10,20,early_visual,forrest,0.018309776844284642,LLE,-5328.699636483748,31461.39927296749
11,20,early_visual,forrest,0.02806819088318114,LLE,-4952.550491209432,30709.100982418862
12,20,early_visual,forrest,0.04068470893890356,LLE,-5350.338729815743,31098.67745963149
13,20,early_visual,forrest,0.0444588742483389,LLE,-5318.779155831077,32265.558311662156
0,16,early_visual,sherlock,0.2072465208012458,TSNE,-2718.4435922788743,10040.887184557749
1,16,early_visual,sherlock,0.17782056612730435,TSNE,-2740.3215083141704,9708.64301662834
2,16,early_visual,sherlock,0.15950666925576076,TSNE,-2788.623714749461,10181.247429498922
3,16,early_visual,sherlock,0.14232581609975853,TSNE,-2802.253145424077,9832.506290848156
4,16,early_visual,sherlock,0.14067967808669693,TSNE,-2756.971532471997,9559.943064943991
5,16,early_visual,sherlock,0.2058975996087087,TSNE,-2724.560724938082,10445.121449876164
6,16,early_visual,sherlock,0.1880490809507928,TSNE,-2713.3174696930373,9840.634939386071
7,16,early_visual,sherlock,0.1751831894072411,TSNE,-2761.5000573552925,10127.000114710583
8,16,early_visual,sherlock,0.12564773737383111,TSNE,-2819.1023609275094,10436.204721855018
9,16,early_visual,sherlock,0.14004989653060407,TSNE,-2802.1505003277753,9832.301000655549
10,16,early_visual,sherlock,0.13536544519287774,TSNE,-2804.886333791209,10213.772667582418
11,16,early_visual,sherlock,0.15973055190646354,TSNE,-2783.3693778467964,9980.738755693592
12,16,early_visual,sherlock,0.14643028031751049,TSNE,-2796.8858040101677,9461.771608020335
13,16,early_visual,sherlock,0.16358401111871593,TSNE,-2765.8425343797144,10729.685068759427
14,16,early_visual,sherlock,0.1733983942134087,TSNE,-2699.948419709371,9627.89683941874
15,16,early_visual,sherlock,0.14889333610974054,TSNE,-2791.624876176604,9451.249752353207
0,16,aud_early,sherlock,0.29287786609767164,SMOOTH_PHATE,-2191.9698438102946,5101.939687620589
1,16,aud_early,sherlock,0.367969815040556,SMOOTH_PHATE,135.13411763060782,447.7317647387844
2,16,aud_early,sherlock,0.23951025136547924,SMOOTH_PHATE,-58.20817101033994,834.4163420206797
3,16,aud_early,sherlock,0.3965612591530571,SMOOTH_PHATE,53.93139220551304,610.137215588974
4,16,aud_early,sherlock,0.3050503674173922,SMOOTH_PHATE,429.9513152278498,-141.9026304556996
5,16,aud_early,sherlock,0.3088841828771112,SMOOTH_PHATE,65.3472272634741,587.3055454730518
6,16,aud_early,sherlock,0.3094027781680995,SMOOTH_PHATE,201.34730424344605,315.30539151310785
7,16,aud_early,sherlock,0.3281047888141444,SMOOTH_PHATE,155.5769405737028,332.8461188525944
8,16,aud_early,sherlock,0.5443839114563642,SMOOTH_PHATE,-710.3009691278867,2216.6019382557733
9,16,aud_early,sherlock,0.3290356339679418,SMOOTH_PHATE,109.38145696559485,659.2370860688103
10,16,aud_early,sherlock,0.2701702481899145,SMOOTH_PHATE,570.4616975191193,-344.9233950382388
11,16,aud_early,sherlock,0.2375074351248007,SMOOTH_PHATE,412.89431368795977,-181.78862737591956
12,16,aud_early,sherlock,0.346503281338083,SMOOTH_PHATE,-2366.418930051052,5376.837860102104
13,16,aud_early,sherlock,0.40455381375701577,SMOOTH_PHATE,-1758.1026811567453,4234.205362313492
14,16,aud_early,sherlock,0.8477865703436388,SMOOTH_PHATE,-553.3041967584421,1824.6083935168838
15,16,aud_early,sherlock,0.20068590137932346,SMOOTH_PHATE,-2022.9701891297727,4689.9403782595455
0,16,high_Visual,sherlock,0.07281148954206965,PHATE,-2859.827016984809,6515.654033969618
