,test_subject,avg_diff,ROI,embed_method,dataset
93,2,0.05813070342309767,aud_early,TPHATE,sherlock
94,2,0.02515662641979988,aud_early,TSNE,forrest
95,2,0.00869789584358523,aud_early,TSNE,sherlock
96,2,0.002358319393752781,aud_early,UMAP,forrest
97,2,0.02263287991307185,aud_early,UMAP,sherlock
98,2,0.0072078021145631724,aud_early,voxel,forrest
99,2,0.013799432780943558,aud_early,voxel,sherlock
100,2,0.011569050197560101,early_visual,ISOMAP,forrest
101,2,0.05543282304359161,early_visual,ISOMAP,sherlock
102,2,0.0005394269765384996,early_visual,LLE,forrest
103,2,0.013264855660738421,early_visual,LLE,sherlock
104,2,0.015539546692876362,early_visual,PCA,forrest
105,2,0.04672764049764262,early_visual,PCA,sherlock
106,2,0.009524078860102371,early_visual,PHATE,forrest
107,2,0.04155689571542717,early_visual,PHATE,sherlock
108,2,0.0021233087555890037,early_visual,PHATE_TIME,forrest
109,2,-0.008213161205339707,early_visual,PHATE_TIME,sherlock
110,2,0.0307672917252716,early_visual,SMOOTH_PHATE,forrest
111,2,-0.03324131030984623,early_visual,SMOOTH_PHATE,sherlock
112,2,0.016038398427138986,early_visual,TPHATE,forrest
113,2,0.07123340420937703,early_visual,TPHATE,sherlock
114,2,0.006005549033628548,early_visual,TSNE,forrest
115,2,0.037729140946926656,early_visual,TSNE,sherlock
116,2,0.013124782220854652,early_visual,UMAP,forrest
117,2,0.028552353813389424,early_visual,UMAP,sherlock
118,2,0.012019294050190562,early_visual,voxel,forrest
119,2,0.045515718840244634,early_visual,voxel,sherlock
120,2,0.0050526670439398295,high_Visual,ISOMAP,forrest
121,2,0.012286755779693346,high_Visual,ISOMAP,sherlock
122,2,0.01067464027734112,high_Visual,LLE,forrest
123,2,0.011962811256609529,high_Visual,LLE,sherlock
124,2,0.009790542058311702,high_Visual,PCA,forrest
125,2,0.00784570665336057,high_Visual,PCA,sherlock
126,2,0.012917444255086839,high_Visual,PHATE,forrest
127,2,0.013552247491300426,high_Visual,PHATE,sherlock
128,2,0.015076919535940127,high_Visual,PHATE_TIME,forrest
129,2,0.028912943312184962,high_Visual,PHATE_TIME,sherlock
130,2,0.03918510402707124,high_Visual,SMOOTH_PHATE,forrest
131,2,0.005637344824439961,high_Visual,SMOOTH_PHATE,sherlock
132,2,0.04652768974279942,high_Visual,TPHATE,forrest
133,2,0.02657202147631284,high_Visual,TPHATE,sherlock
134,2,0.002939049546138358,high_Visual,TSNE,forrest
135,2,0.0026324524020594525,high_Visual,TSNE,sherlock
136,2,0.009809300704568587,high_Visual,UMAP,forrest
137,2,0.0016703453000702024,high_Visual,UMAP,sherlock
138,2,0.006394598382604828,high_Visual,voxel,forrest
139,2,0.010128215443270076,high_Visual,voxel,sherlock
140,2,6.786337900191813e-05,pmc_nn,ISOMAP,forrest
141,2,0.015096010607745144,pmc_nn,ISOMAP,sherlock
