,subject,ROI,dataset,difference_score,embed_method,CV_K,model_LogLikelihood,AIC,neg_LL
397,10,aud_early,forrest,0.00310027,UMAP,76,-4491.615494,20837.23099,4491.615494
398,14,aud_early,forrest,0.004705657,UMAP,76,-5054.448933,21962.897869999997,5054.448933
399,15,aud_early,forrest,0.00105991,UMAP,70,-5306.227486,20690.45497,5306.227486
400,16,aud_early,forrest,0.014311359,UMAP,72,-5428.561084,21511.12217,5428.561084
401,17,aud_early,forrest,0.017200232,UMAP,73,-5333.482859000002,21614.96572,5333.482859000002
402,18,aud_early,forrest,0.015808308,UMAP,77,-5183.864532,22531.729059999998,5183.864532
403,19,aud_early,forrest,0.009187954,UMAP,74,-5434.674727000001,22115.34945,5434.674727000001
404,20,aud_early,forrest,0.0038017570000000002,UMAP,73,-5641.723158,22231.44632,5641.723158
405,1,pmc_nn,forrest,0.0016297739999999998,LLE,111,-5484.234898,36052.4698,5484.234898
406,2,pmc_nn,forrest,0.023970287000000003,LLE,114,-5638.507722,37723.015439999996,5638.507722
407,3,pmc_nn,forrest,0.020355559,LLE,106,-5657.776199,34209.5524,5657.776199
408,4,pmc_nn,forrest,-0.001077153,LLE,111,-5022.135131,35128.270260000005,5022.135131
409,6,pmc_nn,forrest,0.019961678,LLE,114,-5689.000715,37824.001430000004,5689.000715
410,9,pmc_nn,forrest,0.027915618,LLE,109,-5658.577920000002,35513.15584,5658.577920000002
411,10,pmc_nn,forrest,0.033571107,LLE,106,-5599.774710000002,34093.549419999996,5599.774710000002
412,14,pmc_nn,forrest,0.040889807,LLE,108,-5539.714651,34837.4293,5539.714651
413,15,pmc_nn,forrest,0.04125223,LLE,109,-5608.593146,35413.18629,5608.593146
414,16,pmc_nn,forrest,0.028522622,LLE,112,-5654.597695,36843.19539,5654.597695
415,17,pmc_nn,forrest,0.031885029,LLE,110,-5674.469784000001,35986.93957,5674.469784000001
416,18,pmc_nn,forrest,0.016927905,LLE,114,-5613.75673,37673.51346,5613.75673
417,19,pmc_nn,forrest,0.029163944,LLE,114,-5652.627082,37751.254160000004,5652.627082
418,20,pmc_nn,forrest,0.021477162,LLE,102,-5696.94938,32607.898760000004,5696.94938
419,1,high_Visual,forrest,0.007410689,UMAP,69,-5131.356554,20058.71311,5131.356554
420,2,high_Visual,forrest,0.011643714,UMAP,67,-4512.907543,18269.81509,4512.907543
421,3,high_Visual,forrest,0.00428505,UMAP,74,-4913.494916,21072.989830000002,4913.494916
422,4,high_Visual,forrest,0.015476285,UMAP,74,-4748.3946909999995,20742.789380000002,4748.3946909999995
423,6,high_Visual,forrest,0.026839477,UMAP,67,-5813.363918,20870.72784,5813.363918
424,9,high_Visual,forrest,0.022367328,UMAP,70,-5515.834072,21109.66814,5515.834072
425,10,high_Visual,forrest,0.0058624309999999995,UMAP,68,-4375.844781,18269.68956,4375.844781
426,14,high_Visual,forrest,0.004693479,UMAP,71,-6065.865510000001,22495.73102,6065.865510000001
427,15,high_Visual,forrest,0.00018480799999999998,UMAP,72,-4910.6409159999985,20475.28183,4910.6409159999985
428,16,high_Visual,forrest,0.024242767999999998,UMAP,69,-5345.502122,20487.004240000002,5345.502122
429,17,high_Visual,forrest,0.012055655,UMAP,66,-5592.574927000002,20159.14985,5592.574927000002
430,18,high_Visual,forrest,0.025335932000000002,UMAP,71,-4728.243024,19820.48605,4728.243024
431,19,high_Visual,forrest,0.013061349,UMAP,68,-5734.589132,20987.17826,5734.589132
432,20,high_Visual,forrest,0.009535629,UMAP,71,-5607.528803,21579.05761,5607.528803
433,1,early_visual,sherlock,0.366801371,TPHATE,47,-2239.465365,9082.930731,2239.465365
434,2,early_visual,sherlock,0.300859848,TPHATE,45,-2500.478563,9228.957125,2500.478563
435,3,early_visual,sherlock,0.323965044,TPHATE,47,-2561.36073,9726.721461,2561.36073
436,4,early_visual,sherlock,0.307266347,TPHATE,45,-2509.946658,9247.893317,2509.946658
437,5,early_visual,sherlock,0.279789028,TPHATE,44,-2559.280156,9164.560312,2559.280156
438,6,early_visual,sherlock,0.34697302,TPHATE,49,-2337.704404,9671.408809,2337.704404
439,7,early_visual,sherlock,0.306724447,TPHATE,46,-2178.283319,8770.566637,2178.283319
440,8,early_visual,sherlock,0.402078384,TPHATE,47,-2288.494165,9180.988331,2288.494165
441,9,early_visual,sherlock,0.34685523799999995,TPHATE,48,-2523.190653,9844.381306000001,2523.190653
442,10,early_visual,sherlock,0.27684620600000004,TPHATE,45,-2532.8288079999998,9293.657615,2532.8288079999998
443,11,early_visual,sherlock,0.38089237200000003,TPHATE,47,-2449.431818,9502.863636,2449.431818
444,12,early_visual,sherlock,0.269873368,TPHATE,46,-2260.608321,8935.216643000002,2260.608321
445,13,early_visual,sherlock,0.29868577,TPHATE,43,-2659.8698640000002,9187.739728,2659.8698640000002
446,14,early_visual,sherlock,0.41799388,TPHATE,50,-2121.9800579999996,9441.960115,2121.9800579999996
447,15,early_visual,sherlock,0.3431563970000001,TPHATE,45,-2132.90326,8493.80652,2132.90326
448,16,early_visual,sherlock,0.36588728,TPHATE,43,-2313.138316,8494.276631,2313.138316
449,1,early_visual,sherlock,0.088685869,PHATE_TIME,47,2300.809498,2.381004158,-2300.809498
450,2,early_visual,sherlock,0.149133145,PHATE_TIME,45,2311.419534,-394.839069,-2311.419534
451,3,early_visual,sherlock,0.17925091,PHATE_TIME,47,2378.5837699999997,-153.16753980000001,-2378.5837699999997
452,4,early_visual,sherlock,0.215925313,PHATE_TIME,45,1951.0494350000001,325.90112910000005,-1951.0494350000001
453,5,early_visual,sherlock,0.232440863,PHATE_TIME,44,2437.459417,-828.9188337,-2437.459417
454,6,early_visual,sherlock,0.055428148,PHATE_TIME,49,2340.420593,315.1588147,-2340.420593
455,7,early_visual,sherlock,0.191010627,PHATE_TIME,46,911.1752445000001,2591.649511,-911.1752445000001
456,8,early_visual,sherlock,0.110809701,PHATE_TIME,47,1839.121971,925.7560576999999,-1839.121971
457,9,early_visual,sherlock,0.049037769,PHATE_TIME,48,2439.9441899999997,-81.88838063,-2439.9441899999997
458,10,early_visual,sherlock,0.103282212,PHATE_TIME,45,1807.968789,612.0624227000002,-1807.968789
459,11,early_visual,sherlock,0.132302551,PHATE_TIME,47,2954.130785000001,-1304.26157,-2954.130785000001
460,12,early_visual,sherlock,0.208194861,PHATE_TIME,46,1980.149316,453.7013683999999,-1980.149316
461,13,early_visual,sherlock,0.206964359,PHATE_TIME,43,2475.559521,-1083.119042,-2475.559521
462,14,early_visual,sherlock,0.061482695,PHATE_TIME,50,2733.075111,-268.15022200000004,-2733.075111
463,15,early_visual,sherlock,0.257099985,PHATE_TIME,45,815.1650499,2597.6699,-815.1650499
464,16,early_visual,sherlock,0.067789741,PHATE_TIME,43,1564.70356,738.5928791,-1564.70356
465,1,early_visual,sherlock,0.20724652100000002,TSNE,47,-2718.443592,10040.88718,2718.443592
466,2,early_visual,sherlock,0.177820566,TSNE,45,-2740.321508,9708.643017,2740.321508
467,3,early_visual,sherlock,0.15950666900000002,TSNE,47,-2788.6237149999997,10181.24743,2788.6237149999997
468,4,early_visual,sherlock,0.142325816,TSNE,45,-2802.253145,9832.506291,2802.253145
469,5,early_visual,sherlock,0.140679678,TSNE,44,-2756.971532,9559.943065000001,2756.971532
470,6,early_visual,sherlock,0.20589760000000001,TSNE,49,-2724.560725,10445.12145,2724.560725
471,7,early_visual,sherlock,0.188049081,TSNE,46,-2713.31747,9840.634939,2713.31747
472,8,early_visual,sherlock,0.175183189,TSNE,47,-2761.500057,10127.000109999999,2761.500057
473,9,early_visual,sherlock,0.12564773699999998,TSNE,48,-2819.1023609999997,10436.20472,2819.1023609999997
474,10,early_visual,sherlock,0.14004989699999998,TSNE,45,-2802.1505,9832.301001,2802.1505
475,11,early_visual,sherlock,0.135365445,TSNE,47,-2804.886334,10213.77267,2804.886334
476,12,early_visual,sherlock,0.159730552,TSNE,46,-2783.3693780000012,9980.738756,2783.3693780000012
477,13,early_visual,sherlock,0.14643028,TSNE,43,-2796.885804,9461.771608,2796.885804
478,14,early_visual,sherlock,0.163584011,TSNE,50,-2765.842534,10729.68507,2765.842534
479,15,early_visual,sherlock,0.17339839399999998,TSNE,45,-2699.9484199999997,9627.896839,2699.9484199999997
480,16,early_visual,sherlock,0.148893336,TSNE,43,-2791.624876000001,9451.249752,2791.624876000001
481,1,aud_early,forrest,0.030416508999999998,PHATE,70,-5479.0384,21036.0768,5479.0384
482,2,aud_early,forrest,0.024367807000000002,PHATE,71,-4536.026556,19436.05311,4536.026556
483,3,aud_early,forrest,0.008443239,PHATE,76,-3906.719935,19667.43987,3906.719935
484,4,aud_early,forrest,0.020082287,PHATE,75,-3554.021637,18656.04327,3554.021637
485,6,aud_early,forrest,0.008730436999999999,PHATE,73,-4982.691962,20913.38392,4982.691962
486,9,aud_early,forrest,0.008998675,PHATE,72,-4917.626447,20489.25289,4917.626447
487,10,aud_early,forrest,0.011269966999999999,PHATE,76,-4924.629376,21703.25875,4924.629376
488,14,aud_early,forrest,-0.0013737279999999998,PHATE,76,-5007.068363,21868.136730000002,5007.068363
489,15,aud_early,forrest,0.007697946999999998,PHATE,70,-5010.181511,20098.363019999997,5010.181511
490,16,aud_early,forrest,0.032892171,PHATE,72,-4954.301069,20562.60214,4954.301069
491,17,aud_early,forrest,0.018289653,PHATE,73,-4983.599243,20915.19849,4983.599243
492,18,aud_early,forrest,0.051114072,PHATE,77,-3107.343502,18378.686999999998,3107.343502
493,19,aud_early,forrest,0.006028021999999999,PHATE,74,-5013.932377,21273.86475,5013.932377
494,20,aud_early,forrest,0.026413441,PHATE,73,-4938.478370000002,20824.95674,4938.478370000002
495,1,pmc_nn,forrest,0.018579793,PHATE,111,-5487.822897,36059.645789999995,5487.822897
496,2,pmc_nn,forrest,0.023397842000000002,PHATE,114,-5479.184897,37404.36979,5479.184897
497,3,pmc_nn,forrest,0.012372665,PHATE,106,-5542.787987,33979.57597,5542.787987
498,4,pmc_nn,forrest,0.016151669,PHATE,111,-5531.311987,36146.62397,5531.311987
499,6,pmc_nn,forrest,0.02971488,PHATE,114,-5457.778156,37361.55631,5457.778156
500,9,pmc_nn,forrest,0.028037153,PHATE,109,-5403.6956549999995,35003.39131,5403.6956549999995
501,10,pmc_nn,forrest,0.029675535,PHATE,106,-5463.82279,33821.645580000004,5463.82279
502,14,pmc_nn,forrest,0.039193862,PHATE,108,-5406.440604,34570.88121,5406.440604
503,15,pmc_nn,forrest,0.035513859,PHATE,109,-5434.313172,35064.626339999995,5434.313172
504,16,pmc_nn,forrest,0.03201715,PHATE,112,-5496.351492,36526.70298,5496.351492
505,17,pmc_nn,forrest,0.042125643,PHATE,110,-5426.211058,35490.422119999996,5426.211058
506,18,pmc_nn,forrest,0.011226025,PHATE,114,-5481.022624,37408.04525,5481.022624
507,19,pmc_nn,forrest,0.024367187000000002,PHATE,114,-5483.329356,37412.65871,5483.329356
508,20,pmc_nn,forrest,0.03421714,PHATE,102,-5432.755128,32079.51026000001,5432.755128
509,1,high_Visual,forrest,0.00183801,LLE,69,-6320.871633,22437.74327,6320.871633
510,2,high_Visual,forrest,0.002618009,LLE,67,-4944.798372,19133.59674,4944.798372
511,3,high_Visual,forrest,0.00966222,LLE,74,-4861.213039,20968.42608,4861.213039
512,4,high_Visual,forrest,0.010674215,LLE,74,-4564.816128,20375.63226,4564.816128
513,6,high_Visual,forrest,0.053760379000000004,LLE,67,-5397.4660840000015,20038.93217,5397.4660840000015
514,9,high_Visual,forrest,0.047934314000000006,LLE,70,-5350.617979,20779.235959999998,5350.617979
515,10,high_Visual,forrest,0.060465242999999995,LLE,68,-4927.474447,19372.94889,4927.474447
516,14,high_Visual,forrest,0.017958668,LLE,71,-5307.016931,20978.03386,5307.016931
517,15,high_Visual,forrest,0.018234899,LLE,72,-4767.387738,20188.77548,4767.387738
518,16,high_Visual,forrest,0.046466191,LLE,69,-5363.878111,20523.75622,5363.878111
519,17,high_Visual,forrest,0.01205028,LLE,66,-6293.331245,21560.66249,6293.331245
520,18,high_Visual,forrest,0.016506552,LLE,71,-5130.871239,20625.74248,5130.871239
521,19,high_Visual,forrest,0.023113375,LLE,68,-5366.93903,20251.87806,5366.93903
522,20,high_Visual,forrest,0.053065698,LLE,71,-5387.176613000001,21138.35323,5387.176613000001
523,1,early_visual,forrest,0.039690623,LLE,102,-5336.984506000002,31887.96901,5336.984506000002
524,2,early_visual,forrest,0.045747755999999994,LLE,100,-5069.50375,30537.0075,5069.50375
525,3,early_visual,forrest,0.029989303999999998,LLE,97,-5326.166327,29856.33265,5326.166327
526,4,early_visual,forrest,0.004180972,LLE,109,-4041.129693,32278.25939,4041.129693
527,6,early_visual,forrest,0.054298142,LLE,105,-5220.148833,32908.29767,5220.148833
528,9,early_visual,forrest,0.047073495,LLE,95,-5378.6523689999985,29185.304739999996,5378.6523689999985
529,10,early_visual,forrest,0.02947066,LLE,106,-5161.753471,33217.50694,5161.753471
530,14,early_visual,forrest,0.0278046,LLE,100,-5418.861311,31235.72262,5418.861311
531,15,early_visual,forrest,0.026440886,LLE,100,-5412.753474,31223.50695,5412.753474
532,16,early_visual,forrest,0.059352713,LLE,101,-5309.580206000001,31423.160410000004,5309.580206000001
533,17,early_visual,forrest,0.018309777,LLE,101,-5328.699636,31461.399269999998,5328.699636
534,18,early_visual,forrest,0.028068191,LLE,101,-4952.550491,30709.10098000001,4952.550491
535,19,early_visual,forrest,0.040684709,LLE,100,-5350.3387299999995,31098.67746000001,5350.3387299999995
536,20,early_visual,forrest,0.044458874,LLE,103,-5318.779156000001,32265.558310000004,5318.779156000001
537,1,early_visual,sherlock,0.262784367,SMOOTH_PHATE,47,-2590.2264579999996,9784.452916,2590.2264579999996
538,2,early_visual,sherlock,0.611891083,SMOOTH_PHATE,45,-1191.097659,6610.1953189999995,1191.097659
539,3,early_visual,sherlock,0.08399376199999999,SMOOTH_PHATE,47,-1365.896968,7335.793936,1365.896968
540,4,early_visual,sherlock,0.4001455820000001,SMOOTH_PHATE,45,-2393.1478469999997,9014.295693,2393.1478469999997
541,5,early_visual,sherlock,0.257118994,SMOOTH_PHATE,44,-1511.9654269999999,7069.930854000001,1511.9654269999999
542,6,early_visual,sherlock,0.096069962,SMOOTH_PHATE,49,-1901.7040370000002,8799.408073,1901.7040370000002
543,7,early_visual,sherlock,0.521645406,SMOOTH_PHATE,46,-1729.4029050000001,7872.80581,1729.4029050000001
544,8,early_visual,sherlock,0.193173543,SMOOTH_PHATE,47,-1807.120825,8218.24165,1807.120825
545,9,early_visual,sherlock,0.36839742600000003,SMOOTH_PHATE,48,-2513.651179,9825.302357999999,2513.651179
546,10,early_visual,sherlock,0.287986164,SMOOTH_PHATE,45,-2544.3157300000007,9316.631460999999,2544.3157300000007
547,11,early_visual,sherlock,0.38791818899999997,SMOOTH_PHATE,47,-2284.46038,9172.920759999999,2284.46038
548,12,early_visual,sherlock,0.16556639,SMOOTH_PHATE,46,-743.1773422,5900.354684,743.1773422
549,13,early_visual,sherlock,0.27196954,SMOOTH_PHATE,43,-2603.364099,9074.728197,2603.364099
550,14,early_visual,sherlock,0.23276734899999998,SMOOTH_PHATE,50,-930.9799819,7059.959964,930.9799819
551,15,early_visual,sherlock,0.267019443,SMOOTH_PHATE,45,-1926.66539,8081.330779000001,1926.66539
552,16,early_visual,sherlock,0.11143448800000001,SMOOTH_PHATE,43,-1279.704462,6427.408924,1279.704462
553,1,aud_early,forrest,0.009614714,voxel,70,-6282.0122409999985,22642.024482,6282.0122409999985
554,2,aud_early,forrest,0.013385497,voxel,71,-6270.689233,22905.378466,6270.689233
555,3,aud_early,forrest,0.01619086,voxel,76,-6277.725648,24409.451296,6277.725648
556,4,aud_early,forrest,0.012541668999999998,voxel,75,-6279.597345,24107.19469,6279.597345
557,6,aud_early,forrest,0.014977202,voxel,73,-6258.899838,23465.799676,6258.899838
558,9,aud_early,forrest,0.012782625,voxel,72,-6268.081012,23190.162024,6268.081012
559,10,aud_early,forrest,0.017706698,voxel,76,-6253.880093,24361.760186000003,6253.880093
560,14,aud_early,forrest,0.01504828,voxel,76,-6277.856131000001,24409.712262,6277.856131000001
561,15,aud_early,forrest,0.012482652,voxel,70,-6273.96237,22625.92474,6273.96237
562,16,aud_early,forrest,0.014734361000000001,voxel,72,-6272.906134000003,23199.812268,6272.906134000003
563,17,aud_early,forrest,0.012802077,voxel,73,-6280.080608,23508.161216,6280.080608
564,18,aud_early,forrest,0.014707033999999999,voxel,77,-6275.4233049999975,24714.84661,6275.4233049999975
565,19,aud_early,forrest,0.012886113000000001,voxel,74,-6283.423611,23812.847222,6283.423611
566,20,aud_early,forrest,0.01535429,voxel,73,-6268.135626,23484.271252000002,6268.135626
567,1,early_visual,forrest,0.055484762,PHATE_TIME,102,5630.587728,9952.824544,-5630.587728
568,2,early_visual,forrest,0.08296521,PHATE_TIME,100,4828.203605,10741.59279,-4828.203605
569,3,early_visual,forrest,0.08705038300000001,PHATE_TIME,97,5044.883399,9114.233201000001,-5044.883399
570,4,early_visual,forrest,0.070255948,PHATE_TIME,109,6091.284003,12013.431990000001,-6091.284003
571,6,early_visual,forrest,0.150592706,PHATE_TIME,105,3963.1893990000003,14541.6212,-3963.1893990000003
572,9,early_visual,forrest,0.104672234,PHATE_TIME,95,3271.273635,11885.452729999999,-3271.273635
573,10,early_visual,forrest,0.140101557,PHATE_TIME,106,5652.914787,11588.17043,-5652.914787
574,14,early_visual,forrest,0.09628965699999999,PHATE_TIME,100,5876.264716,8645.470568,-5876.264716
575,15,early_visual,forrest,0.10810549900000001,PHATE_TIME,100,5215.194738,9967.610524,-5215.194738
576,16,early_visual,forrest,0.110488034,PHATE_TIME,101,5063.285356,10677.42929,-5063.285356
577,17,early_visual,forrest,0.101670527,PHATE_TIME,101,5068.134739,10667.730520000001,-5068.134739
578,18,early_visual,forrest,0.102781909,PHATE_TIME,101,4338.696457,12126.607090000001,-4338.696457
579,19,early_visual,forrest,0.036845138,PHATE_TIME,100,5123.71915,10150.5617,-5123.71915
580,20,early_visual,forrest,0.063122181,PHATE_TIME,103,6641.864193,8344.271612999999,-6641.864193
581,1,high_Visual,sherlock,0.16869709800000002,TPHATE,19,-2948.137347,6692.274693,2948.137347
582,2,high_Visual,sherlock,0.10200146800000001,TPHATE,21,-3132.929936,7229.859871,3132.929936
583,3,high_Visual,sherlock,0.168998581,TPHATE,21,-2918.609634,6801.219267,2918.609634
584,4,high_Visual,sherlock,0.19635192399999998,TPHATE,22,-2574.8308469999997,6203.6616939999985,2574.8308469999997
585,5,high_Visual,sherlock,0.01631223,TPHATE,21,-2716.521913,6397.043825,2716.521913
586,6,high_Visual,sherlock,0.095502605,TPHATE,19,-3037.748026,6871.4960519999995,3037.748026
587,7,high_Visual,sherlock,0.238226087,TPHATE,22,-2572.827381,6199.654762,2572.827381
588,8,high_Visual,sherlock,0.086774476,TPHATE,20,-3189.789389,7257.578778,3189.789389
589,9,high_Visual,sherlock,0.057836362999999995,TPHATE,21,-3102.239589000001,7168.479178000001,3102.239589000001
590,10,high_Visual,sherlock,0.24716761199999998,TPHATE,22,-2954.976699,6963.953398999999,2954.976699
591,11,high_Visual,sherlock,0.16142040900000001,TPHATE,22,-2776.7772489999998,6607.5544979999995,2776.7772489999998
592,12,high_Visual,sherlock,0.10873119199999999,TPHATE,21,-3111.619660000001,7187.2393189999975,3111.619660000001
593,13,high_Visual,sherlock,0.130977908,TPHATE,19,-2932.879829,6661.759657,2932.879829
594,14,high_Visual,sherlock,0.281463894,TPHATE,22,-2488.440924,6030.881848,2488.440924
595,15,high_Visual,sherlock,0.280610989,TPHATE,21,-2218.607193,5401.214385,2218.607193
596,16,high_Visual,sherlock,0.084270491,TPHATE,20,-2695.097661,6268.195322,2695.097661
597,1,aud_early,forrest,0.055836642,PHATE_TIME,70,4948.223771,181.5524577,-4948.223771
598,2,aud_early,forrest,0.08538688300000001,PHATE_TIME,71,5961.638625,-1559.277249,-5961.638625
599,3,aud_early,forrest,0.025330942000000002,PHATE_TIME,76,6283.342909,-712.6858181,-6283.342909
600,4,aud_early,forrest,0.062230027,PHATE_TIME,75,5608.488041,331.0239186,-5608.488041
601,6,aud_early,forrest,0.12187997800000001,PHATE_TIME,73,5443.9048600000015,60.19027922,-5443.9048600000015
602,9,aud_early,forrest,0.030916331000000002,PHATE_TIME,72,4992.232338000002,669.5353232000001,-4992.232338000002
603,10,aud_early,forrest,0.059349016,PHATE_TIME,76,5700.968062,452.0638751,-5700.968062
604,14,aud_early,forrest,0.164073885,PHATE_TIME,76,4331.341576,3191.316847,-4331.341576
605,15,aud_early,forrest,0.099733592,PHATE_TIME,70,5509.364256,-940.7285124,-5509.364256
606,16,aud_early,forrest,0.02792647,PHATE_TIME,72,5697.46213,-740.924261,-5697.46213
607,17,aud_early,forrest,0.142397606,PHATE_TIME,73,5504.730868,-61.46173566,-5504.730868
608,18,aud_early,forrest,0.030113864,PHATE_TIME,77,5021.131052000002,2121.737896,-5021.131052000002
609,19,aud_early,forrest,0.01779971,PHATE_TIME,74,5156.33342,933.3331602,-5156.33342
610,20,aud_early,forrest,0.148595915,PHATE_TIME,73,4963.395922,1021.208156,-4963.395922
611,1,high_Visual,sherlock,0.064464569,ISOMAP,19,-3154.450664,7104.901328,3154.450664
612,2,high_Visual,sherlock,0.039780758,ISOMAP,21,-3219.3995489999998,7402.799099,3219.3995489999998
