,subject,embed_method,avg_difference,ROI
62,15,PHATE,-0.0038576220000000002,aud_early
63,16,PHATE,0.0206314,aud_early
0,1,TPHATE,0.03223646472119037,early_visual
1,2,TPHATE,0.02311127108477071,early_visual
2,3,TPHATE,-0.019456224572953828,early_visual
3,4,TPHATE,-0.0005269709893461444,early_visual
4,5,TPHATE,-0.017670685904068957,early_visual
5,6,TPHATE,-0.032889730401430936,early_visual
6,7,TPHATE,0.05190453314742991,early_visual
7,8,TPHATE,0.002238197604600717,early_visual
8,9,TPHATE,0.016075048264015783,early_visual
9,10,TPHATE,-0.022227003296704472,early_visual
10,11,TPHATE,-0.0046815101284236275,early_visual
11,12,TPHATE,-0.019365107107995008,early_visual
12,13,TPHATE,-0.02877364093085681,early_visual
13,14,TPHATE,0.08486732990470708,early_visual
14,15,TPHATE,0.0019374254287808452,early_visual
15,16,TPHATE,0.16122005918269167,early_visual
16,1,UMAP,0.009815375909871324,early_visual
17,2,UMAP,0.005574498602354333,early_visual
18,3,UMAP,-0.0039021166524235416,early_visual
19,4,UMAP,-0.0095839116907384,early_visual
20,5,UMAP,0.000302867498316872,early_visual
21,6,UMAP,0.0014764904445796214,early_visual
22,7,UMAP,0.02565504919751934,early_visual
23,8,UMAP,-0.011944125790528677,early_visual
24,9,UMAP,0.00053199579170115,early_visual
25,10,UMAP,0.007054014404025369,early_visual
26,11,UMAP,-0.01153409389114288,early_visual
27,12,UMAP,-0.012481215240057705,early_visual
28,13,UMAP,0.0016352074060275018,early_visual
29,14,UMAP,0.0003264843275902404,early_visual
30,15,UMAP,-0.03583159422096497,early_visual
31,16,UMAP,0.009073206874239676,early_visual
32,1,PCA,0.008222796692770843,early_visual
33,2,PCA,0.010178943442272569,early_visual
34,3,PCA,-0.010284612620796408,early_visual
35,4,PCA,-0.011369985159008177,early_visual
36,5,PCA,0.0019279413295489136,early_visual
37,6,PCA,0.003441622709919192,early_visual
38,7,PCA,-0.00620001041041193,early_visual
39,8,PCA,-0.002851323250746719,early_visual
40,9,PCA,-0.004562737054065621,early_visual
41,10,PCA,-0.0014837158248616608,early_visual
42,11,PCA,-0.0030210476426213127,early_visual
43,12,PCA,-0.012810591179144862,early_visual
44,13,PCA,0.0012496282406723874,early_visual
45,14,PCA,-0.007707958621854752,early_visual
46,15,PCA,-0.016277832299405368,early_visual
47,16,PCA,0.019597610006493345,early_visual
48,1,PHATE,-0.0034008261623872443,early_visual
49,2,PHATE,0.011556692334205152,early_visual
50,3,PHATE,-0.005788838920446711,early_visual
51,4,PHATE,-0.016859965968078167,early_visual
52,5,PHATE,-0.007236304449740215,early_visual
53,6,PHATE,0.0044699455407619815,early_visual
54,7,PHATE,-0.006363255178208007,early_visual
55,8,PHATE,-0.004451777247192146,early_visual
56,9,PHATE,0.010920171063807615,early_visual
57,10,PHATE,0.01641006771904396,early_visual
58,11,PHATE,0.005731980309062262,early_visual
59,12,PHATE,-0.01057119924674513,early_visual
60,13,PHATE,0.002527060527440454,early_visual
61,14,PHATE,-0.009103676224469151,early_visual
62,15,PHATE,-0.024005250230609856,early_visual
63,16,PHATE,0.014495719861638896,early_visual
0,1,TPHATE,0.0683983703537496,pmc_nn
1,2,TPHATE,0.110642136068411,pmc_nn
2,3,TPHATE,0.019885710827311227,pmc_nn
3,4,TPHATE,0.005199700917031478,pmc_nn
4,5,TPHATE,0.07918836698794206,pmc_nn
5,6,TPHATE,0.12476422343721234,pmc_nn
6,7,TPHATE,0.07516778561409296,pmc_nn
7,8,TPHATE,0.13767409455158855,pmc_nn
8,9,TPHATE,0.04587426299543376,pmc_nn
9,10,TPHATE,-0.015129323016024085,pmc_nn
10,11,TPHATE,-0.020818586401202616,pmc_nn
11,12,TPHATE,-0.006542186820526368,pmc_nn
12,13,TPHATE,0.07804631712198074,pmc_nn
13,14,TPHATE,0.01901019828865521,pmc_nn
14,15,TPHATE,0.07563300378650055,pmc_nn
15,16,TPHATE,0.12277616145682935,pmc_nn
16,1,UMAP,0.013131093604306292,pmc_nn
17,2,UMAP,-0.006813260959321792,pmc_nn
18,3,UMAP,-0.006979303487591388,pmc_nn
19,4,UMAP,-0.01746217703411326,pmc_nn
20,5,UMAP,-0.02102009895360109,pmc_nn
21,6,UMAP,0.0208563017247715,pmc_nn
22,7,UMAP,0.001943699189491929,pmc_nn
23,8,UMAP,0.015943279373684137,pmc_nn
24,9,UMAP,-0.00029262777832811485,pmc_nn
25,10,UMAP,0.0009986767752908276,pmc_nn
26,11,UMAP,0.0014023852120782238,pmc_nn
27,12,UMAP,0.01857260807680666,pmc_nn
28,13,UMAP,0.021874231809450872,pmc_nn
29,14,UMAP,-0.001751324639991526,pmc_nn
30,15,UMAP,0.004787067642247891,pmc_nn
31,16,UMAP,0.052651453007054906,pmc_nn
32,1,PCA,0.0011974744845709886,pmc_nn
33,2,PCA,0.001203341658308389,pmc_nn
34,3,PCA,0.02795923364990995,pmc_nn
35,4,PCA,0.004780152997555724,pmc_nn
36,5,PCA,0.020264896387690728,pmc_nn
37,6,PCA,0.030436807240304817,pmc_nn
38,7,PCA,0.033828772600138245,pmc_nn
39,8,PCA,0.009899883973930209,pmc_nn
40,9,PCA,0.009587178793535808,pmc_nn
41,10,PCA,0.002559994748749623,pmc_nn
42,11,PCA,-0.0005824674833079768,pmc_nn
43,12,PCA,0.01528936528158563,pmc_nn
44,13,PCA,0.016404423106698644,pmc_nn
45,14,PCA,-0.005561230148548443,pmc_nn
46,15,PCA,-0.015407060586411728,pmc_nn
47,16,PCA,-0.010896764069549113,pmc_nn
48,1,PHATE,-0.005467202245050311,pmc_nn
49,2,PHATE,0.03742942277434917,pmc_nn
50,3,PHATE,0.021760269703769267,pmc_nn
51,4,PHATE,0.003216239170319145,pmc_nn
52,5,PHATE,0.01512970651345812,pmc_nn
53,6,PHATE,0.03585270717118518,pmc_nn
54,7,PHATE,0.02165975300613395,pmc_nn
55,8,PHATE,0.010771317624072659,pmc_nn
56,9,PHATE,0.010803439117796205,pmc_nn
57,10,PHATE,0.008300863348463227,pmc_nn
58,11,PHATE,-0.0013704581599816414,pmc_nn
59,12,PHATE,0.01396493682279354,pmc_nn
60,13,PHATE,0.013965118798612284,pmc_nn
61,14,PHATE,0.001023397278936325,pmc_nn
62,15,PHATE,-0.003324522830803229,pmc_nn
63,16,PHATE,-0.004292596395253208,pmc_nn
