,subject,ROI,avg_difference,embed_method
127,16,early_visual,0.2384267997300204,PHATE_TIME
128,1,early_visual,0.004549492642679151,TSNE
129,2,early_visual,0.007643613076281024,TSNE
130,3,early_visual,-0.003611914343307885,TSNE
131,4,early_visual,-0.013256396902174906,TSNE
132,5,early_visual,-0.004664788271697988,TSNE
133,6,early_visual,-0.008096889982047401,TSNE
134,7,early_visual,-0.005682360102251057,TSNE
135,8,early_visual,-0.012503165756845342,TSNE
136,9,early_visual,0.0019859489240990585,TSNE
137,10,early_visual,0.01579805987351322,TSNE
138,11,early_visual,0.0036215327706732494,TSNE
139,12,early_visual,-0.004884491970561678,TSNE
140,13,early_visual,0.015099315978376516,TSNE
141,14,early_visual,-0.00552386500657053,TSNE
142,15,early_visual,0.0066995296865077535,TSNE
143,16,early_visual,0.007383642023025053,TSNE
144,1,early_visual,0.005393254073031478,voxel
145,2,early_visual,0.003507696425972141,voxel
146,3,early_visual,-0.0008460669315383622,voxel
147,4,early_visual,0.0019054372767606808,voxel
148,5,early_visual,0.0008249277611952802,voxel
149,6,early_visual,-0.0005038003387908602,voxel
150,7,early_visual,0.0032212288283217077,voxel
151,8,early_visual,0.0004969171547670482,voxel
152,9,early_visual,0.0017127033852878152,voxel
153,10,early_visual,0.004422801674949761,voxel
154,11,early_visual,-0.00405675189043157,voxel
155,12,early_visual,-0.0037590733389333475,voxel
156,13,early_visual,0.0038561375879002492,voxel
157,14,early_visual,0.005455706534934128,voxel
158,15,early_visual,0.0017321847461759144,voxel
159,16,early_visual,0.011489423780618813,voxel
0,1,high_Visual,0.005032699852982431,PHATE
1,2,high_Visual,-0.007094589060654698,PHATE
2,3,high_Visual,-0.01479270898692899,PHATE
3,4,high_Visual,0.015667843460280852,PHATE
4,5,high_Visual,-1.6242456615893762e-05,PHATE
5,6,high_Visual,0.0038031479650810014,PHATE
6,7,high_Visual,-0.003914426077911694,PHATE
7,8,high_Visual,0.006760209657909958,PHATE
8,9,high_Visual,-0.0037425759842902922,PHATE
9,10,high_Visual,0.011392741424965708,PHATE
10,11,high_Visual,-0.0028662703222947115,PHATE
11,12,high_Visual,-0.0036511091040886405,PHATE
12,13,high_Visual,-0.00016429658694493376,PHATE
13,14,high_Visual,0.04668934618726581,PHATE
14,15,high_Visual,0.059437570471776766,PHATE
15,16,high_Visual,-0.017562547787212817,PHATE
16,1,high_Visual,0.032298104849172164,TPHATE
17,2,high_Visual,0.0005574005293480028,TPHATE
18,3,high_Visual,-0.00040093991134792763,TPHATE
19,4,high_Visual,0.0815361834031233,TPHATE
20,5,high_Visual,0.08750799166458,TPHATE
21,6,high_Visual,0.015108042917038132,TPHATE
22,7,high_Visual,-0.033499769611387,TPHATE
23,8,high_Visual,0.041867518947857216,TPHATE
24,9,high_Visual,0.002668095498714341,TPHATE
25,10,high_Visual,0.12964471029924513,TPHATE
26,11,high_Visual,-0.07794939806603833,TPHATE
27,12,high_Visual,0.00825388448299074,TPHATE
28,13,high_Visual,-0.007454220798355036,TPHATE
29,14,high_Visual,0.06810899889931056,TPHATE
30,15,high_Visual,0.04294310844244936,TPHATE
31,16,high_Visual,-0.03518014122195312,TPHATE
32,1,high_Visual,0.008710021000468958,UMAP
33,2,high_Visual,0.002845595826339573,UMAP
34,3,high_Visual,-0.012228454087740778,UMAP
35,4,high_Visual,-0.003328161068351105,UMAP
36,5,high_Visual,-0.08615107597818064,UMAP
37,6,high_Visual,0.026078018143838727,UMAP
38,7,high_Visual,0.0276657194776692,UMAP
39,8,high_Visual,0.022352399004820014,UMAP
40,9,high_Visual,-0.0061836025830318,UMAP
41,10,high_Visual,0.036783274874246284,UMAP
42,11,high_Visual,0.017743297446464124,UMAP
43,12,high_Visual,-0.0013639566625574173,UMAP
44,13,high_Visual,0.012502551684024829,UMAP
45,14,high_Visual,0.03078462550165013,UMAP
46,15,high_Visual,0.0185271327688893,UMAP
47,16,high_Visual,-0.008028952568593121,UMAP
48,1,high_Visual,0.002150630138574993,PCA
49,2,high_Visual,-0.00043843834191652166,PCA
50,3,high_Visual,-0.00617675930662031,PCA
51,4,high_Visual,-0.008697543154858106,PCA
52,5,high_Visual,0.023703387845726724,PCA
53,6,high_Visual,-0.002903327889382624,PCA
54,7,high_Visual,-0.00823746542491536,PCA
55,8,high_Visual,0.004467190666680437,PCA
56,9,high_Visual,-0.004431950176962725,PCA
57,10,high_Visual,0.009181624441534695,PCA
58,11,high_Visual,-0.010901053833218613,PCA
59,12,high_Visual,0.006035681274143734,PCA
60,13,high_Visual,0.0005999141223847009,PCA
61,14,high_Visual,0.04488295468924612,PCA
62,15,high_Visual,0.014053351038957915,PCA
63,16,high_Visual,0.0068036896988687215,PCA
64,1,high_Visual,-0.01772179763478549,LLE
65,2,high_Visual,0.009977178808733292,LLE
66,3,high_Visual,-0.003435279857982385,LLE
67,4,high_Visual,-0.03436570638824517,LLE
68,5,high_Visual,-0.023136366578692967,LLE
69,6,high_Visual,-0.011065590264431626,LLE
70,7,high_Visual,-0.022284683642053518,LLE
71,8,high_Visual,0.01773108888592385,LLE
72,9,high_Visual,-0.009864531877212273,LLE
73,10,high_Visual,0.010429451711366377,LLE
74,11,high_Visual,-0.0081310667235246,LLE
75,12,high_Visual,0.017102348454240503,LLE
76,13,high_Visual,0.02119216929066924,LLE
77,14,high_Visual,0.03517687733897753,LLE
78,15,high_Visual,0.005821646195015279,LLE
79,16,high_Visual,0.005350536111744429,LLE
80,1,high_Visual,0.02141796908281008,ISOMAP
81,2,high_Visual,0.006706542440965336,ISOMAP
82,3,high_Visual,-0.0007030620234764477,ISOMAP
83,4,high_Visual,-0.014990500501091594,ISOMAP
84,5,high_Visual,0.010448415094995405,ISOMAP
85,6,high_Visual,0.003270116602475145,ISOMAP
86,7,high_Visual,-0.0029183438139405,ISOMAP
87,8,high_Visual,0.016537922967829802,ISOMAP
88,9,high_Visual,0.0011031195608879477,ISOMAP
89,10,high_Visual,0.0073640007193532765,ISOMAP
90,11,high_Visual,-0.009073619276251716,ISOMAP
91,12,high_Visual,0.006120926307733376,ISOMAP
92,13,high_Visual,0.007363470008789797,ISOMAP
93,14,high_Visual,0.03586623693954648,ISOMAP
94,15,high_Visual,0.007267824945230373,ISOMAP
95,16,high_Visual,0.0068961831053233075,ISOMAP
96,1,high_Visual,0.19209439948590304,SMOOTH_PHATE
97,2,high_Visual,0.14846901669511525,SMOOTH_PHATE
