,Unnamed: 0,method,sigma,alpha,rho
185,185,PHATE,20.0,5,0.983492096891373
186,186,PCA,20.0,5,0.9897979333610702
187,187,UMAP,20.0,5,0.9774502113111191
188,188,TPHATE,20.0,5,0.988042431584408
189,189,LLE,50.0,5,0.7607884079626728
190,190,ISOMAP,50.0,5,0.8876116041958346
191,191,TSNE,50.0,5,0.8548159813553676
192,192,PHATE,50.0,5,0.9098124764376572
193,193,PCA,50.0,5,0.9116169779648259
194,194,UMAP,50.0,5,0.9191553738699952
195,195,TPHATE,50.0,5,0.9883049528400256
196,196,LLE,80.0,5,0.598772194176236
197,197,ISOMAP,80.0,5,0.7434224181517213
198,198,TSNE,80.0,5,0.7621328963402385
199,199,PHATE,80.0,5,0.8408585548757294
200,200,PCA,80.0,5,0.7873568241938598
201,201,UMAP,80.0,5,0.8418863856866998
202,202,TPHATE,80.0,5,0.97638846148876
203,203,LLE,100.0,5,0.3608746985411392
204,204,ISOMAP,100.0,5,0.5712581574048738
205,205,TSNE,100.0,5,0.4989374481832496
206,206,PHATE,100.0,5,0.6769075025030697
207,207,PCA,100.0,5,0.6298789007517668
208,208,UMAP,100.0,5,0.5923099076898173
209,209,TPHATE,100.0,5,0.7915486876938024
210,210,LLE,0.5,6,0.8851509513491431
211,211,ISOMAP,0.5,6,0.9993595900720049
212,212,TSNE,0.5,6,0.9257968073915728
213,213,PHATE,0.5,6,0.9898296509893996
214,214,PCA,0.5,6,0.9993595900720049
215,215,UMAP,0.5,6,0.9918076063196776
216,216,TPHATE,0.5,6,0.9881383435670026
217,217,LLE,1.0,6,0.8854906348764723
218,218,ISOMAP,1.0,6,0.9993595900720049
219,219,TSNE,1.0,6,0.9243051046848326
220,220,PHATE,1.0,6,0.990252177368863
221,221,PCA,1.0,6,0.9993595900720049
222,222,UMAP,1.0,6,0.9854723295144708
223,223,TPHATE,1.0,6,0.9882609631337228
224,224,LLE,2.0,6,0.8822568664207067
225,225,ISOMAP,2.0,6,0.9993595900720049
226,226,TSNE,2.0,6,0.9044082201953252
227,227,PHATE,2.0,6,0.9903408905758216
228,228,PCA,2.0,6,0.9993595900720049
229,229,UMAP,2.0,6,0.9892570510131103
230,230,TPHATE,2.0,6,0.9881597754227625
231,231,LLE,3.0,6,0.8812578813187871
232,232,ISOMAP,3.0,6,0.9993595900720049
233,233,TSNE,3.0,6,0.9116131698251662
234,234,PHATE,3.0,6,0.9884848969276714
235,235,PCA,3.0,6,0.9993595900720049
236,236,UMAP,3.0,6,0.9908863148577944
237,237,TPHATE,3.0,6,0.988203259063994
238,238,LLE,5.0,6,0.8855346245827751
239,239,ISOMAP,5.0,6,0.9992821241612512
240,240,TSNE,5.0,6,0.9248286543041084
