,method,sigma,alpha,rho
127,ISOMAP,50.0,5,0.8829087667936326
128,TSNE,50.0,5,0.8542635607237873
129,PHATE,50.0,5,0.9203993450728196
130,PCA,50.0,5,0.931903507255804
131,UMAP,50.0,5,0.9035569301843974
132,TPHATE,50.0,5,0.9882524612405289
133,LLE,80.0,5,0.6433802107828496
134,ISOMAP,80.0,5,0.7842938020930735
135,TSNE,80.0,5,0.7169073285273981
136,PHATE,80.0,5,0.8155364503983205
137,PCA,80.0,5,0.7681320447252407
138,UMAP,80.0,5,0.7503344446668001
139,TPHATE,80.0,5,0.9376312908980715
140,LLE,100.0,5,0.42675374342799083
141,ISOMAP,100.0,5,0.555969374936264
142,TSNE,100.0,5,0.5634390219015284
143,PHATE,100.0,5,0.6913260681270941
144,PCA,100.0,5,0.6470830256497366
145,UMAP,100.0,5,0.6364149335706673
146,TPHATE,100.0,5,0.8244388434895453
