,subject,embedding_dimensions,embed_method,clf_accuracy,clf_sd,ROI
13,20,20,SMOOTH_PHATE,0.3349358974358975,0.04993729631693232,high_Visual
0,1,20,voxel,0.48397435897435903,0.01602564102564101,early_visual
1,2,20,voxel,0.5128205128205128,0.0231125081760512,early_visual
2,3,20,voxel,0.3525641025641025,0.03481660413846223,early_visual
3,4,20,voxel,0.3701923076923077,0.0219147345050919,early_visual
4,6,20,voxel,0.4294871794871795,0.0235527859882998,early_visual
5,9,20,voxel,0.5192307692307693,0.027196414661021046,early_visual
6,10,20,voxel,0.3637820512820513,0.01594531149209327,early_visual
7,14,20,voxel,0.4118589743589744,0.021440846410672516,early_visual
8,15,20,voxel,0.4102564102564103,0.03361566821058177,early_visual
9,16,20,voxel,0.4839743589743589,0.04655717643055753,early_visual
10,17,20,voxel,0.3461538461538461,0.03951547437800627,early_visual
11,18,20,voxel,0.9967948717948718,0.0032051282051281933,early_visual
12,19,20,voxel,0.4375,0.03463170318104857,early_visual
13,20,20,voxel,0.3894230769230769,0.02327858821527876,early_visual
0,1,20,voxel,0.5240384615384615,0.009480897088300666,high_Visual
1,2,20,voxel,0.5993589743589745,0.036684369045703824,high_Visual
2,3,20,voxel,0.4375,0.017773295683348418,high_Visual
3,4,20,voxel,0.4326923076923077,0.03668436904570385,high_Visual
4,6,20,voxel,0.5032051282051282,0.05138211391628654,high_Visual
5,9,20,voxel,0.6025641025641026,0.030406515963157507,high_Visual
6,10,20,voxel,0.4535256410256411,0.07243518833326618,high_Visual
7,14,20,voxel,0.4647435897435898,0.025032851525341848,high_Visual
8,15,20,voxel,0.5192307692307692,0.016343011261515317,high_Visual
9,16,20,voxel,0.5144230769230769,0.04652958699024992,high_Visual
10,17,20,voxel,0.4326923076923077,0.058135760087234166,high_Visual
11,18,20,voxel,0.9967948717948718,0.0032051282051281933,high_Visual
12,19,20,voxel,0.5673076923076923,0.03751506381640905,high_Visual
13,20,20,voxel,0.4326923076923077,0.048076923076923066,high_Visual
0,1,20,PHATE,0.4439102564102564,0.022833023796113804,high_Visual
1,2,20,PHATE,0.4262820512820513,0.026623794432429716,high_Visual
2,3,20,PHATE,0.4246794871794872,0.011444596840613544,high_Visual
3,4,20,PHATE,0.4022435897435897,0.00832716734408116,high_Visual
4,6,20,PHATE,0.39102564102564097,0.007850928662766592,high_Visual
5,9,20,PHATE,0.5176282051282051,0.02538939025281229,high_Visual
6,10,20,PHATE,0.4519230769230769,0.02738462738883824,high_Visual
7,14,20,PHATE,0.40384615384615385,0.02398498324855091,high_Visual
8,15,20,PHATE,0.4006410256410257,0.013215082133389934,high_Visual
9,16,20,PHATE,0.4567307692307692,0.02579082842857544,high_Visual
10,17,20,PHATE,0.4310897435897436,0.03909074012067459,high_Visual
11,18,20,PHATE,0.4246794871794872,0.03280366905522231,high_Visual
12,19,20,PHATE,0.4583333333333334,0.02812488585702604,high_Visual
13,20,20,PHATE,0.4439102564102565,0.037480819113866984,high_Visual
0,1,20,PCA,0.4455128205128205,0.013215082133389938,early_visual
1,2,20,PCA,0.4983974358974359,0.018893952119473718,early_visual
2,3,20,PCA,0.3125,0.01943005713618935,early_visual
3,4,20,PCA,0.3349358974358974,0.037205726814884287,early_visual
4,6,20,PCA,0.405448717948718,0.022378589813732287,early_visual
5,9,20,PCA,0.4855769230769231,0.034033270162812976,early_visual
6,10,20,PCA,0.3557692307692307,0.020522834094336053,early_visual
7,14,20,PCA,0.35416666666666663,0.018893952119473725,early_visual
8,15,20,PCA,0.3669871794871795,0.03280366905522231,early_visual
9,16,20,PCA,0.4487179487179487,0.061984229505813185,early_visual
10,17,20,PCA,0.3060897435897436,0.0241450627777554,early_visual
11,18,20,PCA,0.9951923076923076,0.002775722448027037,early_visual
12,19,20,PCA,0.4182692307692307,0.029852461554803138,early_visual
13,20,20,PCA,0.3381410256410257,0.01311755251902636,early_visual
0,1,20,PHATE,0.4262820512820513,0.005551444896054075,early_visual
1,2,20,PHATE,0.4647435897435898,0.025032851525341848,early_visual
2,3,20,PHATE,0.3557692307692308,0.02503285152534184,early_visual
3,4,20,PHATE,0.34775641025641024,0.042369564315391926,early_visual
4,6,20,PHATE,0.3974358974358975,0.021738237125401502,early_visual
5,9,20,PHATE,0.4503205128205128,0.02095624492086863,early_visual
6,10,20,PHATE,0.3189102564102564,0.04426675422093953,early_visual
7,14,20,PHATE,0.3798076923076923,0.03909074012067458,early_visual
8,15,20,PHATE,0.3669871794871795,0.012309528442097132,early_visual
9,16,20,PHATE,0.405448717948718,0.036084391824351615,early_visual
10,17,20,PHATE,0.3621794871794872,0.011556254088025604,early_visual
11,18,20,PHATE,0.4631410256410257,0.006985414973622865,early_visual
12,19,20,PHATE,0.4262820512820513,0.013215082133389934,early_visual
13,20,20,PHATE,0.3573717948717949,0.029506334358208295,early_visual
0,1,20,UMAP,0.4166666666666666,0.021738237125401485,early_visual
1,2,20,UMAP,0.4647435897435898,0.03023711901300195,early_visual
2,3,20,UMAP,0.3830128205128205,0.0027757224480270608,early_visual
3,4,20,UMAP,0.3814102564102564,0.003205128205128221,early_visual
4,6,20,UMAP,0.3974358974358974,0.015701857325533183,early_visual
5,9,20,UMAP,0.4519230769230769,0.014687742612037941,early_visual
6,10,20,UMAP,0.3685897435897436,0.02775722448027047,early_visual
7,14,20,UMAP,0.38461538461538464,0.0,early_visual
8,15,20,UMAP,0.3862179487179487,0.01594531149209327,early_visual
9,16,20,UMAP,0.41025641025641024,0.021260415322791014,early_visual
10,17,20,UMAP,0.3766025641025641,0.013878612240135237,early_visual
11,18,20,UMAP,0.405448717948718,0.009480897088300673,early_visual
12,19,20,UMAP,0.41025641025641024,0.013598207330510531,early_visual
13,20,20,UMAP,0.38461538461538464,0.0,early_visual
0,1,20,ACPHATE,0.592948717948718,0.04764765624140548,early_visual
1,2,20,ACPHATE,0.6618589743589743,0.0647998930101145,early_visual
2,3,20,ACPHATE,0.3509615384615385,0.13464399879035235,early_visual
3,4,20,ACPHATE,0.3974358974358975,0.07364823905817985,early_visual
4,6,20,ACPHATE,0.4903846153846154,0.04807692307692308,early_visual
5,9,20,ACPHATE,0.6266025641025641,0.031850331593512506,early_visual
6,10,20,ACPHATE,0.3461538461538461,0.027196414661021056,early_visual
7,14,20,ACPHATE,0.40224358974358976,0.0269593010276614,early_visual
8,15,20,ACPHATE,0.35897435897435903,0.034221404653946505,early_visual
9,16,20,ACPHATE,0.5416666666666667,0.050778780505624566,early_visual
10,17,20,ACPHATE,0.4391025641025641,0.04544053486781354,early_visual
11,18,20,ACPHATE,0.9775641025641026,0.01397082994724573,early_visual
12,19,20,ACPHATE,0.5801282051282051,0.04312058989446703,early_visual
